,Unnamed: 0,ID,Age,Overall,Potential,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
Unnamed: 0,1.0,0.41575705023599213,-0.4548462286193103,-0.9727905045230216,-0.6333948583687966,-0.5965083329379364,-0.413322334641421,-0.2040262652294494,-0.41567220381211617,0.2136448601216158,-0.39006241295479,-0.32552910573283117,-0.33776566220179816,-0.4924949959713382,-0.38428530846990894,-0.36410561202922787,-0.41637784394168287,-0.3954326179811993,-0.4775002394282924,-0.4496550161248414,-0.18502999374088203,-0.1987966565905912,-0.25627039410253133,-0.8321560932685975,-0.09716014039376489,-0.4400226006579876,-0.2615811467246628,-0.35845073145380546,-0.3428386578799936,-0.4178525980041535,-0.39706711865137845,-0.31916225839405543,-0.3518204472696878,-0.4902956087405828,-0.3378986409175497,-0.7161730171295829,-0.28082922323278736,-0.24856358715599913,-0.2200336384860384,0.027756937480370312,0.027025708276451815,0.03065367718801036,0.019842326857080667,0.02561029419369343
ID,0.41575705023599213,1.0,-0.7392081885153141,-0.4170249506173243,0.047074237036171626,-0.23135179676988427,-0.35619100951806215,-0.07578434383112019,-0.056913980313886135,0.18207435919165987,-0.1319936466155464,-0.08232312386265508,-0.10681472798477709,-0.13627876882959788,-0.15991450185551515,-0.03033988170473476,-0.1695114436247875,-0.19954928216679585,-0.1867639016899253,-0.10018378665727166,0.133235875891335,0.13243684385445997,-0.019896763752012016,-0.40861718795125096,0.04846329357893982,-0.16613320930396688,-0.16936947986031473,-0.053895345219713287,-0.2597558380918757,-0.1615486636787207,-0.22832913932028534,-0.1606019325734959,-0.0883298102265999,-0.215170270038587,-0.1406565006378122,-0.3844726920165101,-0.11019789510632934,-0.08592928831294666,-0.06840873942341395,-0.105593829219527,-0.11114856193107459,-0.10665181408343608,-0.11825030607765669,-0.10577840452441425
Age,-0.4548462286193103,-0.7392081885153141,1.0,0.45234952145633345,-0.25331210741097177,0.23669521674099284,0.25376524523720784,0.0598667151483161,0.02764882682873969,-0.2411560245920606,0.13054538078332012,0.06865984742019987,0.14718300804048348,0.1328943508767947,0.1424723959404281,0.010166473555092237,0.14327567925981194,0.19346714777802504,0.18130989685803994,0.08496917432314324,-0.15866719545584984,-0.1516822858927443,-0.019395416578638285,0.45312377198866877,-0.08987655227260358,0.1569466368488473,0.17716736141157374,0.09779319874762177,0.332798193991893,0.15509646109404765,0.2651900265068042,0.1978447228379828,0.0824432922816561,0.18742239937491612,0.13953512720922218,0.3910231509797055,0.14281661169106702,0.11974481673540342,0.10308892777199735,0.10127664581526438,0.10641935983347317,0.10496355262611928,0.1164021031092093,0.10331257156048204
Overall,-0.9727905045230216,-0.4170249506173243,0.45234952145633345,1.0,0.6609385409937739,0.6069596731966327,0.4994911571283042,0.2120154541591126,0.41446323510268385,-0.2189309154206297,0.39497225595205554,0.3325148086260985,0.3407758978888174,0.5025499435712312,0.3913381112401303,0.37242585796852873,0.41949097723635276,0.39689222080631864,0.4839089168830675,0.46019661865490846,0.19686876689855054,0.21064730821335587,0.26495168358234655,0.8500449067063628,0.10315982877320566,0.44111768001137086,0.26443470961796234,0.36565609124311643,0.3493263818766969,0.4207949568710642,0.39547001782947444,0.3213262951589624,0.35649309142889063,0.49889376459916107,0.34142867018654643,0.7276551849626027,0.286505099093831,0.2526287538875043,0.22281120957356318,-0.02593651220254639,-0.02506180154430757,-0.029372262925969384,-0.01767433662801364,-0.02327574074737829
Potential,-0.6333948583687966,0.047074237036171626,-0.25331210741097177,0.6609385409937739,1.0,0.3837274189434406,0.3729926999048472,0.16234633830855466,0.35429008003536,-0.010474177277576,0.24631885906732587,0.24335529621741805,0.20098806572245237,0.36918932891765754,0.25490649195184845,0.3150194393519966,0.27994421820599913,0.2305440309987043,0.3214369401850534,0.35439611356363626,0.23460751615111514,0.23677141839912755,0.22230953048993146,0.5134252439713446,0.1380250573290707,0.2883180982331619,0.10915122288869075,0.2025626741321726,0.07576854264898863,0.26674043377755735,0.1711742541542601,0.15490799862307222,0.24561565787817327,0.3481414901637652,0.224281038393426,0.4400079509405521,0.1628012337237287,0.1435643435385524,0.1289798044592605,-0.053445770376030405,-0.05467191564692329,-0.05906145830375179,-0.05258876014800863,-0.05334082007361845
Special,-0.5965083329379364,-0.23135179676988427,0.23669521674099284,0.6069596731966327,0.3837274189434406,1.0,0.2922081333017012,0.34185549758081896,0.7634120694357096,-0.13371641379580268,0.8664166541166538,0.72424374437986,0.6444209419802698,0.9067292584705258,0.7739744665850521,0.8742742778499489,0.8519004052891375,0.806413979834541,0.8463022395857384,0.9121073065261014,0.6543369406876172,0.6459625173618303,0.699672729531772,0.5971692407737836,0.586787704676633,0.8352767909010872,0.32184561447685783,0.7927619224396198,0.1929897558324983,0.8400486614035161,0.6662363941403538,0.5616758256395468,0.8243074413375671,0.7619918290938729,0.7345325489229523,0.7523310634829438,0.5618660326793872,0.538802404155538,0.5069676988522447,-0.6746365926840878,-0.6736245866269828,-0.6702538394979393,-0.6682722478168645,-0.6732375909218957
International Reputation,-0.413322334641421,-0.35619100951806215,0.25376524523720784,0.4994911571283042,0.3729926999048472,0.2922081333017012,1.0,0.12831685627662237,0.20815268522149813,-0.07729779397618064,0.1917697211184875,0.17837289840402745,0.15748309503544747,0.24280317786731834,0.2430885500410949,0.17904065843267167,0.23368060210144545,0.22356448703474374,0.23952532058045936,0.21794553784252108,0.04431853535311282,0.04407039977784489,0.1008685004084355,0.4456142018752339,0.05007560100587697,0.22777230346087082,0.12093066080153542,0.0947803860068546,0.13128015108105207,0.213960374566143,0.17332667693188514,0.12958552848991978,0.18300294267526468,0.284600287860773,0.21862037266125903,0.3927869498391493,0.1152077096579806,0.09284566928967482,0.07917615098436791,0.004526174491416519,0.003942256485312546,0.0006511300720326101,0.006903731152158767,0.0034438514099426423
Weak Foot,-0.2040262652294494,-0.07578434383112019,0.0598667151483161,0.2120154541591126,0.16234633830855466,0.34185549758081896,0.12831685627662237,1.0,0.3407205606739601,-0.035410108407266855,0.307924552257362,0.35741608916985695,0.18323840540618794,0.3221334479350576,0.35733958368421304,0.35265758479303627,0.34546812267601695,0.3304723904726941,0.2771743323238824,0.35638279187560495,0.2614347583819777,0.24882224131847475,0.3020618009445557,0.20134111842394908,0.254021659813739,0.332855185950208,0.06975239308789828,0.23209415254246676,-0.008469636761645073,0.3559665007734233,0.1315237741132623,0.05309738545779131,0.34689642290767214,0.3378966551787295,0.33025214377722034,0.27813193987832563,0.06567322841899302,0.04264638690739743,0.026105356382423422,-0.2319054980924005,-0.23309783370567058,-0.22939483843112307,-0.23129848692346694,-0.23257401361973287
Skill Moves,-0.41567220381211617,-0.056913980313886135,0.02764882682873969,0.41446323510268385,0.35429008003536,0.7634120694357096,0.20815268522149813,0.3407205606739601,1.0,-0.03519374718989851,0.7410350679778804,0.7434392685493788,0.4430050506185982,0.7303633387631756,0.7450774278498161,0.8397573305412084,0.7710515912538115,0.7010676941034342,0.6223421142534895,0.8180509142324913,0.6523561940399552,0.6240979363006685,0.6817648117991227,0.37704442268226324,0.578458851734832,0.7182372032367911,0.10755300726990989,0.5702256090968312,-0.041474908801111036,0.7529798954632753,0.34779506709557306,0.20960361404727262,0.7812481069312378,0.6740570762738384,0.6904337547942752,0.5868355847838479,0.24142797378612235,0.21051683340761151,0.17860668242517785,-0.6216748578644741,-0.6197549227629118,-0.6169897410304058,-0.618853008720177,-0.6219252525851919
Jersey Number,0.2136448601216158,0.18207435919165987,-0.2411560245920606,-0.2189309154206297,-0.010474177277576,-0.13371641379580268,-0.07729779397618064,-0.035410108407266855,-0.03519374718989851,1.0,-0.07658453706323057,-0.0066389474733318105,-0.09168844331393891,-0.10024071468154029,-0.026730619504937124,-0.02802075014772202,-0.05542840964994542,-0.06884282434748887,-0.11742382287259102,-0.07320973755807623,-0.004394731697722443,-0.015068688787895506,-0.03415750492544985,-0.192621975668311,0.008008891930911588,-0.053860085331374125,-0.10417889691255404,-0.1278222172197882,-0.15841111905257588,-0.046174460289895664,-0.14690657302867915,-0.15852617082104806,-0.025422376317963388,-0.07804966002310497,-0.028022947978412142,-0.16752260755777212,-0.14247357348333192,-0.13328509677630535,-0.12461008884668535,0.004807022770710326,0.0015434727586322247,0.0011619460847359653,-0.0027356149826212855,0.003254549440629233
Crossing,-0.39006241295479,-0.1319936466155464,0.13054538078332012,0.39497225595205554,0.24631885906732587,0.8664166541166538,0.1917697211184875,0.307924552257362,0.7410350679778804,-0.07658453706323057,1.0,0.6552996448917696,0.46950657307789334,0.8096596761228805,0.6903393990461135,0.856646561162003,0.8331050840137527,0.7611068450775318,0.7565269195729235,0.8409159597840844,0.6683649919898025,0.6455777957627226,0.6983196024645495,0.3895740529069498,0.6182798979438306,0.705503346664973,0.1354857834809699,0.6726334483187336,-0.029402544647742685,0.7420650153125009,0.47357007483299707,0.42773943773501827,0.7831851999023095,0.6849484643561339,0.6458052494966305,0.5754457477283094,0.44310106060642845,0.4289625608021444,0.4099607849897787,-0.6630526702303422,-0.6601928797201844,-0.6597668593356157,-0.6601597416064336,-0.6625392610281056
Finishing,-0.32552910573283117,-0.08232312386265508,0.06865984742019987,0.3325148086260985,0.24335529621741805,0.72424374437986,0.17837289840402745,0.35741608916985695,0.7434392685493788,-0.0066389474733318105,0.6552996448917696,1.0,0.4734267305492375,0.6618298524569236,0.8826754364510516,0.824336793416777,0.7592292590426799,0.6975504770654369,0.5128062968160509,0.7883760503926999,0.6063778286056728,0.5938637120994061,0.6442732181860396,0.3313757815828212,0.5237865602731182,0.8154723145928848,0.09746416362625847,0.5108907782769395,-0.009743510619098531,0.8778342832599776,0.24282522088614258,-0.020702613555422335,0.8887895203697497,0.6972900050211653,0.8378270334761926,0.5334140039925032,0.024218108617549142,-0.03302345596841945,-0.0718107745612732,-0.5887520632749204,-0.5871447259216953,-0.5832681857405025,-0.5848523928318677,-0.5869127812352944
HeadingAccuracy,-0.33776566220179816,-0.10681472798477709,0.14718300804048348,0.3407758978888174,0.20098806572245237,0.6444209419802698,0.15748309503544747,0.18323840540618794,0.4430050506185982,-0.09168844331393891,0.46950657307789334,0.4734267305492375,1.0,0.6400908007088845,0.5056390938830645,0.5507504576328165,0.44084554870219056,0.4077715424917232,0.5107793581215383,0.6581746481991698,0.32964697584792435,0.37945289558264045,0.2605144884101456,0.3258665136035428,0.16883436482837894,0.6117363472613648,0.3800409309082688,0.6345886165604167,0.4869030332877378,0.5068135951344453,0.6928469629181379,0.5486892752382858,0.5338178609600314,0.27567296618289033,0.551978257461549,0.5072084464513553,0.583123202547219,0.5610630661523414,0.5336429458154095,-0.7504174869908944,-0.7498882509325373,-0.7464442756858387,-0.744442728195921,-0.7488954879208545
ShortPassing,-0.4924949959713382,-0.13627876882959788,0.1328943508767947,0.5025499435712312,0.36918932891765754,0.9067292584705258,0.24280317786731834,0.3221334479350576,0.7303633387631756,-0.10024071468154029,0.8096596761228805,0.6618298524569236,0.6400908007088845,1.0,0.6983090544541614,0.8437218312487177,0.7753981690565791,0.7366587848594037,0.8957218379688148,0.9114511568311656,0.5657520258004799,0.5546811728720927,0.612899155155633,0.4830277410824518,0.5331262000371272,0.7718453338688633,0.1975349876553563,0.7166590725332289,0.13383055659015633,0.7617495363368167,0.6115697546938179,0.5433500601661024,0.7577762801733027,0.7135235945258367,0.6760627318414164,0.6851374748489472,0.5595762266952206,0.5411309541177075,0.5086437556696074,-0.7297847001565365,-0.728023712684207,-0.7243810328949508,-0.7237821260395177,-0.7287207518979082
Volleys,-0.38428530846990894,-0.15991450185551515,0.1424723959404281,0.3913381112401303,0.25490649195184845,0.7739744665850521,0.2430885500410949,0.35733958368421304,0.7450774278498161,-0.026730619504937124,0.6903393990461135,0.8826754364510516,0.5056390938830645,0.6983090544541614,1.0,0.8096385372026923,0.807284791259312,0.7496374246678733,0.5710499557464949,0.7949349921124613,0.5720637111456598,0.5569548879217462,0.6249945880635777,0.39371299632221995,0.5136823657847716,0.8324792674147763,0.12622797823764514,0.5273953942391278,0.029505343415045997,0.868253458280703,0.3301155330053728,0.08838540598462369,0.8483328333858395,0.6994705135702618,0.8292574676153487,0.5952805993754838,0.12091867741318062,0.0727881777594192,0.03545721757266612,-0.5908082827127473,-0.58866810319572,-0.5849543043911719,-0.586130952650527,-0.5886701122878629
Dribbling,-0.36410561202922787,-0.03033988170473476,0.010166473555092237,0.37242585796852873,0.3150194393519966,0.8742742778499489,0.17904065843267167,0.35265758479303627,0.8397573305412084,-0.02802075014772202,0.856646561162003,0.824336793416777,0.5507504576328165,0.8437218312487177,0.8096385372026923,1.0,0.8426520654385348,0.7536000374082429,0.7224651550282174,0.9389422570105292,0.748292095129088,0.7268351426314918,0.7651530750379579,0.36926473695921636,0.6630862676564777,0.8047316931011681,0.1430793622679673,0.6865109880764863,-0.03354985525343414,0.8436189996896697,0.44107532665868954,0.2960203387270194,0.8969320272287271,0.7301496426564891,0.769593834087306,0.597497652537628,0.33607169257749536,0.3012506779132976,0.2739629018355179,-0.7546250789378403,-0.7531805004741862,-0.7498164767457265,-0.7513481189595849,-0.7543413067532821
Curve,-0.41637784394168287,-0.1695114436247875,0.14327567925981194,0.41949097723635276,0.27994421820599913,0.8519004052891375,0.23368060210144545,0.34546812267601695,0.7710515912538115,-0.05542840964994542,0.8331050840137527,0.7592292590426799,0.44084554870219056,0.7753981690565791,0.807284791259312,0.8426520654385348,1.0,0.8612769069029717,0.7108066005954273,0.8295680297887323,0.607238624518256,0.5786279319670874,0.6821043120100656,0.4134128201731238,0.5869685173917173,0.7921425794434633,0.11193371548679103,0.5903811027772169,-0.035587241854144504,0.8353092023872294,0.3993318135707204,0.27375559951340495,0.8110820235225146,0.7447743298118997,0.7518332232786468,0.6165319401053518,0.2895293835799789,0.26148071659071587,0.23286879909772934,-0.60628623111018,-0.603141134422519,-0.6002664744278706,-0.6035397511959475,-0.6049599918120984
FKAccuracy,-0.3954326179811993,-0.19954928216679585,0.19346714777802504,0.39689222080631864,0.2305440309987043,0.806413979834541,0.22356448703474374,0.3304723904726941,0.7010676941034342,-0.06884282434748887,0.7611068450775318,0.6975504770654369,0.4077715424917232,0.7366587848594037,0.7496374246678733,0.7536000374082429,0.8612769069029717,1.0,0.7035443042214705,0.7595482108431532,0.49821461352146346,0.46668590926717385,0.5901585718195733,0.3982420530786021,0.5215128850385716,0.7544129136121618,0.08202593624173449,0.5374774560188361,-0.018669397278955426,0.8026666010423883,0.39606757836029244,0.29535706156051217,0.7295055275194113,0.7171734363075677,0.7344396941990389,0.585120175172933,0.29797558360344395,0.27915308669382694,0.24790291871949585,-0.5566049544039239,-0.5536435664013727,-0.5499109233459921,-0.5526412133830537,-0.554919999408548
LongPassing,-0.4775002394282924,-0.1867639016899253,0.18130989685803994,0.4839089168830675,0.3214369401850534,0.8463022395857384,0.23952532058045936,0.2771743323238824,0.6223421142534895,-0.11742382287259102,0.7565269195729235,0.5128062968160509,0.5107793581215383,0.8957218379688148,0.5710499557464949,0.7224651550282174,0.7108066005954273,0.7035443042214705,1.0,0.7886500392604454,0.4425658759228151,0.4265862505913867,0.5234256583717417,0.46152657688707077,0.46230041676218997,0.6714255789323461,0.15473964262702822,0.6356266306804768,0.11444790852417665,0.667847225496476,0.590521945017896,0.5968211370443456,0.6144978417384797,0.6981992860164943,0.5422465202957764,0.6457970886430355,0.5871057417138692,0.5874296717988937,0.5622302924620488,-0.5968203215152638,-0.5949991814728641,-0.5914534100502971,-0.591560633939206,-0.5958869599474969
BallControl,-0.4496550161248414,-0.10018378665727166,0.08496917432314324,0.46019661865490846,0.35439611356363626,0.9121073065261014,0.21794553784252108,0.35638279187560495,0.8180509142324913,-0.07320973755807623,0.8409159597840844,0.7883760503926999,0.6581746481991698,0.9114511568311656,0.7949349921124613,0.9389422570105292,0.8295680297887323,0.7595482108431532,0.7886500392604454,1.0,0.6757374207775291,0.6639901208456982,0.7046036387314921,0.4437496783353251,0.6009084369224721,0.8312868379008673,0.19523475304630614,0.728603502665841,0.08784111003434561,0.8360473881924219,0.5498400051667115,0.41858435075882267,0.8639148744095184,0.7184112072423382,0.7697912642253598,0.6748810117699998,0.4527053875655329,0.41756627099398036,0.3848018408683155,-0.7884438816622013,-0.7867965329433129,-0.7834227421767437,-0.7836069880174145,-0.7879388494579559
Acceleration,-0.18502999374088203,0.133235875891335,-0.15866719545584984,0.19686876689855054,0.23460751615111514,0.6543369406876172,0.04431853535311282,0.2614347583819777,0.6523561940399552,-0.004394731697722443,0.6683649919898025,0.6063778286056728,0.32964697584792435,0.5657520258004799,0.5720637111456598,0.748292095129088,0.607238624518256,0.49821461352146346,0.4425658759228151,0.6757374207775291,1.0,0.9219275235190818,0.8108318941769942,0.18868479274361374,0.7114658282355538,0.539514935442978,0.21522062902132524,0.607239678794222,-0.16650748841789448,0.5799481969390888,0.25018598134943826,0.15214616956190333,0.6823088296565116,0.4615516149348925,0.5329082104378551,0.34742705874662755,0.1953694357604539,0.16299972411013522,0.1575652056774425,-0.5930078599162307,-0.5948661903815499,-0.5921272935352184,-0.5921432317820817,-0.5932014587559534
